name,id,popularity,followers,genres,spotify_url
Eminem,7dGJo4pcD2V6oG8kP0tJRR,92,100519828,"rap, hip hop",https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR
Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ,79,4524416,soundtrack,https://open.spotify.com/artist/0YC192cP3KPCRWx8zr8MfZ
2Pac,1ZwdS5xdxEREPySFridCfh,82,21431219,"gangster rap, west coast hip hop, g-funk, hip hop",https://open.spotify.com/artist/1ZwdS5xdxEREPySFridCfh
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,89,46008878,pop,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,94,37780887,"art pop, pop",https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms
Hunee,6uElH4moADg7AGB3DCGOwy,29,43982,lo-fi house,https://open.spotify.com/artist/6uElH4moADg7AGB3DCGOwy
Hugo LX,2seENlEi5S6kopQzmVyOzn,12,1802,nu disco,https://open.spotify.com/artist/2seENlEi5S6kopQzmVyOzn
DOUDOU,0ctojL7wBYi3YJ4mNWeXcC,36,18155,"chinese indie, gufeng, chinese rock, c-pop",https://open.spotify.com/artist/0ctojL7wBYi3YJ4mNWeXcC
Ferro Gaita,1MT6RYDsl8nq9UDhNiwjqV,27,14890,"kizomba, kuduro",https://open.spotify.com/artist/1MT6RYDsl8nq9UDhNiwjqV
Gesloten Cirkel,7J2HcD2wGXZdmTwCIfx1dX,19,9471,breakbeat,https://open.spotify.com/artist/7J2HcD2wGXZdmTwCIfx1dX
Identified Patient,7f8YjXIXYXMDWaYCICYUUD,19,17796,"ebm, industrial",https://open.spotify.com/artist/7f8YjXIXYXMDWaYCICYUUD
Jasmine Thompson,2TL8gYTNgD6nXkyuUdDrMg,68,876150,,https://open.spotify.com/artist/2TL8gYTNgD6nXkyuUdDrMg
Josh Tweek,5wH08cebmN0Q2nwTs8oyFw,0,337,,https://open.spotify.com/artist/5wH08cebmN0Q2nwTs8oyFw
Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,74,3319410,neo soul,https://open.spotify.com/artist/2Mu5NfyYm8n5iTomuKAEHl
Legowelt,0cG9dZ6X8YfLeGe24QWMwM,35,45649,"electroclash, idm, lo-fi house, acid house, minimal techno",https://open.spotify.com/artist/0cG9dZ6X8YfLeGe24QWMwM
Mary Lake,5bhoVKF8eORLen5Ls4ErRq,11,1355,,https://open.spotify.com/artist/5bhoVKF8eORLen5Ls4ErRq
Parrish Smith,5w7TOAEvABipEVEyVPdB6u,15,4174,ebm,https://open.spotify.com/artist/5w7TOAEvABipEVEyVPdB6u
REISS,3BSkPwyf7Wb9mY3xFijUiq,22,3082,,https://open.spotify.com/artist/3BSkPwyf7Wb9mY3xFijUiq
Samuel Deep,4vvqJy4SLEx3s70rv5pO6T,12,2211,"tech house, chicago house",https://open.spotify.com/artist/4vvqJy4SLEx3s70rv5pO6T
Sweely,1SYJDHr7kjUL4LlfK1jJ9m,45,44022,"lo-fi house, jazz house, house, acid house",https://open.spotify.com/artist/1SYJDHr7kjUL4LlfK1jJ9m
The Ghost Inside,6kQB2RN7WwryMdJ1MoQh1E,55,381954,"metalcore, melodic hardcore, hardcore, deathcore, post-hardcore, metal",https://open.spotify.com/artist/6kQB2RN7WwryMdJ1MoQh1E
Allatt,7FO6WEpveHdKrSfvAVY9Yb,0,11,,https://open.spotify.com/artist/7FO6WEpveHdKrSfvAVY9Yb
Blasha & Allatt,6RdNGMvTyeHLZs4Bv3o9UT,11,1581,,https://open.spotify.com/artist/6RdNGMvTyeHLZs4Bv3o9UT
Cinnaman,2UHOxilPkRsyFp4EQu8Sq4,12,2334,,https://open.spotify.com/artist/2UHOxilPkRsyFp4EQu8Sq4
Delano Legito,3X7CP7vFQAu6vKRjPIEnIe,8,647,,https://open.spotify.com/artist/3X7CP7vFQAu6vKRjPIEnIe
Kamma,775xcuXzPW9p8TODycEul0,13,752,disco house,https://open.spotify.com/artist/775xcuXzPW9p8TODycEul0
Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,71,861193,country,https://open.spotify.com/artist/6WY7D3jk8zTrHtmkqqo5GI
Masalo,6kFJNl3ISQSkOq2iS0Lk53,27,4032,"italo dance, italo disco",https://open.spotify.com/artist/6kFJNl3ISQSkOq2iS0Lk53
N3NA,4GovPEsYSE5kM8j2xpJv3i,4,1132,moombahton,https://open.spotify.com/artist/4GovPEsYSE5kM8j2xpJv3i
Naone,1YFDpUPAsOO9nEMmLSI0AP,9,1012,acid house,https://open.spotify.com/artist/1YFDpUPAsOO9nEMmLSI0AP
Stephanie Sykes,0Q6dRCEC8zbkt629wKltea,7,2396,techno,https://open.spotify.com/artist/0Q6dRCEC8zbkt629wKltea
Sunil Sharpe,3ICTnwDblBaSha7SS6wgCN,4,2502,"acid techno, techno",https://open.spotify.com/artist/3ICTnwDblBaSha7SS6wgCN
Young Marco,7zpN81tVvPwlHcJSkSCyRa,39,32067,,https://open.spotify.com/artist/7zpN81tVvPwlHcJSkSCyRa
Hyperaktivist,4m0WESduLSPdOjzFHykKl9,4,299,,https://open.spotify.com/artist/4m0WESduLSPdOjzFHykKl9
JEANS,0DDSIEFdF59I8nqLuHYHij,4,794,breakbeat,https://open.spotify.com/artist/0DDSIEFdF59I8nqLuHYHij
KI/KI,0UMs6dTf23FC2fHc40fXNS,48,51938,"hard house, acid techno, trance, techno",https://open.spotify.com/artist/0UMs6dTf23FC2fHc40fXNS
Himera,1Vi0Dq6hC56i3a6eVA9Y6g,31,20200,hyperpop,https://open.spotify.com/artist/1Vi0Dq6hC56i3a6eVA9Y6g
Sassy J,2nqNqUIX7Vp8txD1mSJl7S,0,1064,,https://open.spotify.com/artist/2nqNqUIX7Vp8txD1mSJl7S
Showband Takostu,561w5kMi7djaZSseF9vRvO,0,38,,https://open.spotify.com/artist/561w5kMi7djaZSseF9vRvO
Visceral Rain,0iXGgjkn97AolhD6yR3FbO,54,596,,https://open.spotify.com/artist/0iXGgjkn97AolhD6yR3FbO
Beste Hira,2hV9DetVwApAerLu0cyu36,13,1605,,https://open.spotify.com/artist/2hV9DetVwApAerLu0cyu36
Kybba,5I8OAPN5jY1wvHwpnsRRsA,62,190923,"shatta, dancehall, moombahton",https://open.spotify.com/artist/5I8OAPN5jY1wvHwpnsRRsA
CyberSex,5RaEN6D37lK1bOcgRA5pXO,6,1180,"deathstep, riddim, dubstep, bass music",https://open.spotify.com/artist/5RaEN6D37lK1bOcgRA5pXO
Nobu,5yuxqGyvuCkRY8X53yVy5u,35,17924,,https://open.spotify.com/artist/5yuxqGyvuCkRY8X53yVy5u
Stanley Chiloane,6N3GQtsL7bBEYgGj7Kbozz,3,4,,https://open.spotify.com/artist/6N3GQtsL7bBEYgGj7Kbozz
Talismann,6EbNaM2bFGGDaPKTNG1PT2,17,5648,techno,https://open.spotify.com/artist/6EbNaM2bFGGDaPKTNG1PT2
Wata Igarashi,7ug2B8FOnKHqwtVlD9vrQX,27,15863,dub techno,https://open.spotify.com/artist/7ug2B8FOnKHqwtVlD9vrQX
Woody,4fwqMEjaDoOZXWFpZAFwXf,29,4160,,https://open.spotify.com/artist/4fwqMEjaDoOZXWFpZAFwXf
Ben Buitendijk,4dNXn22Z6Qs36TfjtjW4ii,15,6136,"dub techno, acid techno, minimal techno, dub",https://open.spotify.com/artist/4dNXn22Z6Qs36TfjtjW4ii
Donato Dozzy,2LmP2eHIAmprDBQfi4jiBC,33,49700,"dub techno, minimal techno, ambient",https://open.spotify.com/artist/2LmP2eHIAmprDBQfi4jiBC
GiGi FM,2I64l1qh83iqkQ3cLRGcPi,27,3981,dub techno,https://open.spotify.com/artist/2I64l1qh83iqkQ3cLRGcPi
julie,3VNzWLePg9jTvQ2ximYOzW,56,359182,shoegaze,https://open.spotify.com/artist/3VNzWLePg9jTvQ2ximYOzW
Marco Shuttle,2DqPerh6whhlts8Pb0BUJi,18,7402,dub techno,https://open.spotify.com/artist/2DqPerh6whhlts8Pb0BUJi
Korolova,0I6oCyQQ1Q50q97y9B9gAx,58,202287,"melodic techno, melodic house, progressive house",https://open.spotify.com/artist/0I6oCyQQ1Q50q97y9B9gAx
Flits,27zkecqd2CHGbs1laS4iZO,17,1999,techno,https://open.spotify.com/artist/27zkecqd2CHGbs1laS4iZO
Patrick Mason,32H97VEM4nTqJsJgdt3hDg,21,9522,,https://open.spotify.com/artist/32H97VEM4nTqJsJgdt3hDg
Spekki Webu,0FbMK8UG7nEele2cAZgGFv,11,1920,,https://open.spotify.com/artist/0FbMK8UG7nEele2cAZgGFv
Adiel,1yetl1fEx0mE16k164jXvw,23,13082,"dub techno, techno",https://open.spotify.com/artist/1yetl1fEx0mE16k164jXvw
Alex (TOK),3hTRyxaN0zihxgQ6dJei9r,35,549,"moombahton, dancehall",https://open.spotify.com/artist/3hTRyxaN0zihxgQ6dJei9r
Jamaica Suk,5LeWZsLNESW0TzNIiWkIWN,4,1841,,https://open.spotify.com/artist/5LeWZsLNESW0TzNIiWkIWN
Kléo,2yX5i94Hz5sp9Ltc809M0A,3,293,,https://open.spotify.com/artist/2yX5i94Hz5sp9Ltc809M0A
Party DJ&apos;s For Xmas,5KA1jW3NGR34iFP9xHiNeK,0,3,,https://open.spotify.com/artist/5KA1jW3NGR34iFP9xHiNeK
Paul Laurens,2sFp1zLAeMQuthAg5L3nOk,11,2132,techno,https://open.spotify.com/artist/2sFp1zLAeMQuthAg5L3nOk
Tripeo,0UWHroDmh9eZxU6uu6V3y2,3,1517,techno,https://open.spotify.com/artist/0UWHroDmh9eZxU6uu6V3y2
Wendel Sield,0wAIGy1x2050z4sUa0nKTe,1,86,lo-fi house,https://open.spotify.com/artist/0wAIGy1x2050z4sUa0nKTe
Afra,4TofTRvEUQsznrSPnYnHx9,62,67322,turkish pop,https://open.spotify.com/artist/4TofTRvEUQsznrSPnYnHx9
Alex Ranzino,7jGYBagwyep7YPsQ9b3vyx,12,692,hard house,https://open.spotify.com/artist/7jGYBagwyep7YPsQ9b3vyx
Binh,6STA0SHS2IXsnePZ8RZ0z9,2,523,minimal techno,https://open.spotify.com/artist/6STA0SHS2IXsnePZ8RZ0z9
Combined Type,3JxCiFIH6U69pydJBkCN3Q,0,29,,https://open.spotify.com/artist/3JxCiFIH6U69pydJBkCN3Q
Herra,09YYxZN17MIqP0ceYKmgla,5,215,,https://open.spotify.com/artist/09YYxZN17MIqP0ceYKmgla
Jensen Interceptor,30eE9RmXxzCcZKTf4N2O0e,32,24329,"breakbeat, ebm, miami bass, acid techno, electro, acid house",https://open.spotify.com/artist/30eE9RmXxzCcZKTf4N2O0e
Quest Pistols,21bKsZrHsq3UcdHgeaKH2l,49,103200,,https://open.spotify.com/artist/21bKsZrHsq3UcdHgeaKH2l
Spokenn,74SeFRJHDlYj3c5p8lBwBQ,0,14,,https://open.spotify.com/artist/74SeFRJHDlYj3c5p8lBwBQ
Tensnake,75nC6MXUalYZSOd7OfNkwq,54,99545,"nu disco, deep house, disco house",https://open.spotify.com/artist/75nC6MXUalYZSOd7OfNkwq
Spray,7AyNPhiTjEsBF4HBBW4gDf,30,6788,"acid house, hard house, progressive house",https://open.spotify.com/artist/7AyNPhiTjEsBF4HBBW4gDf
Alberta Balsam,5FnNfyN38fMnym4lVqyMWO,12,1392,idm,https://open.spotify.com/artist/5FnNfyN38fMnym4lVqyMWO
Anoushka Shankar,6MTByljF8u5omBltY2VKPU,48,276941,,https://open.spotify.com/artist/6MTByljF8u5omBltY2VKPU
Comrade Winston,0SqGJRXoeyljUgN43YWbRk,7,182,,https://open.spotify.com/artist/0SqGJRXoeyljUgN43YWbRk
David Vunk,1GWOp8EQ7wk8PHp27u9FBJ,18,7007,"italo disco, italo dance, acid house, hi-nrg",https://open.spotify.com/artist/1GWOp8EQ7wk8PHp27u9FBJ
Katy Perry,6jJ0s89eD6GaHleKKya26X,87,37067882,pop,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X
Perdu,3JW4jIizZah2STNtdp1cWx,12,2108,"italo disco, italo dance, indie dance",https://open.spotify.com/artist/3JW4jIizZah2STNtdp1cWx
Gioachino Rossini,0roWUeP7Ac4yK4VN6L2gF4,56,245907,"classical, opera",https://open.spotify.com/artist/0roWUeP7Ac4yK4VN6L2gF4
Thomas Trax,18Tk3UtkVkpEc1bT2XD5X9,0,43,,https://open.spotify.com/artist/18Tk3UtkVkpEc1bT2XD5X9
Tjade,2XgDjvneRRotQu4r9lTRuh,29,4968,"hard house, eurodance, trance",https://open.spotify.com/artist/2XgDjvneRRotQu4r9lTRuh
Alvama Ice,7u3vbdqtash5J8vjtX6IcM,20,14822,,https://open.spotify.com/artist/7u3vbdqtash5J8vjtX6IcM
Weezer,3jOstUTkEu2JkjvRdBA5Gu,76,4270132,alternative rock,https://open.spotify.com/artist/3jOstUTkEu2JkjvRdBA5Gu
Anouk,6ltVunYjAAD70YtVO6rxvX,56,385485,nederpop,https://open.spotify.com/artist/6ltVunYjAAD70YtVO6rxvX
Bella Arino,7zP1EicEtgf409DZmnJ2dD,20,1403,,https://open.spotify.com/artist/7zP1EicEtgf409DZmnJ2dD
Incredible Bongo Band,6tw3wmGmRXSWP9GqsnvY7B,39,41417,breakbeat,https://open.spotify.com/artist/6tw3wmGmRXSWP9GqsnvY7B
CINTHIE,764H8zG8sTf5FPHWHW5bvh,36,25515,"acid techno, lo-fi house, disco house, house",https://open.spotify.com/artist/764H8zG8sTf5FPHWHW5bvh
Closet Yi,1iqgi3aRUSccnZK8K0oIGp,11,2355,,https://open.spotify.com/artist/1iqgi3aRUSccnZK8K0oIGp
Coco Jones,4DHLoiIqFYYFjH09WduvFd,69,677955,,https://open.spotify.com/artist/4DHLoiIqFYYFjH09WduvFd
Hitam,5EijOk6m2JyfSsAWWMLQ3n,12,2162,techno,https://open.spotify.com/artist/5EijOk6m2JyfSsAWWMLQ3n
Liam Palmer,0X08iR3Fp37Hoa9b1pjHnR,36,658,,https://open.spotify.com/artist/0X08iR3Fp37Hoa9b1pjHnR
Sem Jacobs,4IDxbXfz5yMK7OGD4sdRjt,55,11556,"house, tech house, jazz house",https://open.spotify.com/artist/4IDxbXfz5yMK7OGD4sdRjt
Alienata,2K1MT7PdganMZh0qVAIagm,1,834,breakbeat,https://open.spotify.com/artist/2K1MT7PdganMZh0qVAIagm
Deniro,5OoDtYl4zYEnvAtFSxqf2W,18,5650,"dub techno, techno",https://open.spotify.com/artist/5OoDtYl4zYEnvAtFSxqf2W
Thrills in +41,01jiJKQVab7tvsLFM9kfDT,1,441,acid house,https://open.spotify.com/artist/01jiJKQVab7tvsLFM9kfDT
stranger,2qp1ClsWGzaIUHRuferibB,13,6520,"acid techno, techno",https://open.spotify.com/artist/2qp1ClsWGzaIUHRuferibB
Dimi Angélis,3YhoBaF7QKoydRlkscsdtr,9,2606,"techno, dub techno",https://open.spotify.com/artist/3YhoBaF7QKoydRlkscsdtr
Lobster,5Ifip9weGPvNXjlaGTK2ME,12,1237,,https://open.spotify.com/artist/5Ifip9weGPvNXjlaGTK2ME
Nick Moore,7ukZgEvzF0YdF9vw8axy5h,18,7242,,https://open.spotify.com/artist/7ukZgEvzF0YdF9vw8axy5h
The Lady Machine,302BGj6HLRd3ZDZmX0U3Be,11,3047,techno,https://open.spotify.com/artist/302BGj6HLRd3ZDZmX0U3Be
Arp Frique,2Rm5Fw56mWmB0Pz0JPcOyb,26,5206,afrobeat,https://open.spotify.com/artist/2Rm5Fw56mWmB0Pz0JPcOyb
Berkan,4Y0MNPlNCGzbu3fs6s8eF2,6,136,"afro house, tribal house",https://open.spotify.com/artist/4Y0MNPlNCGzbu3fs6s8eF2
Bjarki,6FtSCON62H1CEJtN39y9yI,30,37118,"techno, acid techno, idm",https://open.spotify.com/artist/6FtSCON62H1CEJtN39y9yI
Boris,17NKG41JE8AjodqNS3E8nE,23,1978,,https://open.spotify.com/artist/17NKG41JE8AjodqNS3E8nE
Eileen Alister,2XPubfqZp6J4uEEJop2OL2,38,27248,,https://open.spotify.com/artist/2XPubfqZp6J4uEEJop2OL2
Falco Heres,4dflA5N934mR0czOqGw7wT,0,1,,https://open.spotify.com/artist/4dflA5N934mR0czOqGw7wT
kalley,1VfUR2Su5Ags5Im3mZGnPo,47,43133,"worship, christian",https://open.spotify.com/artist/1VfUR2Su5Ags5Im3mZGnPo
Nelly,2gBjLmx6zQnFGQJCAQpRgw,77,3444205,,https://open.spotify.com/artist/2gBjLmx6zQnFGQJCAQpRgw
Volruptus,4uDJetmKX6GhS4K91q1cbU,16,6490,"breakbeat, acid techno, miami bass, acid house, electro",https://open.spotify.com/artist/4uDJetmKX6GhS4K91q1cbU
Yung Dada,69G9yOls2tiws5DaLkXZnJ,24,2190,"alté, afrobeats, afrobeat, afropop",https://open.spotify.com/artist/69G9yOls2tiws5DaLkXZnJ
Abstract Division,6vJQQlRxEwIOVYv2NrmODp,11,6987,"techno, acid techno, minimal techno, dub techno",https://open.spotify.com/artist/6vJQQlRxEwIOVYv2NrmODp
Beau Didier,6glIE97GtgyY8jzlaxo9qZ,27,5063,hard house,https://open.spotify.com/artist/6glIE97GtgyY8jzlaxo9qZ
Davy Miller,6IJnF53ZflvzYhXijacqUi,0,65,,https://open.spotify.com/artist/6IJnF53ZflvzYhXijacqUi
Grace Dahl,0sjYkVBR192ZyleNslaZIB,18,3226,"acid techno, hard techno, techno",https://open.spotify.com/artist/0sjYkVBR192ZyleNslaZIB
Isaiah Rashad,6aaMZ3fcfLv4tEbmY7bjRM,70,1566653,,https://open.spotify.com/artist/6aaMZ3fcfLv4tEbmY7bjRM
Laura Van Hal,2TKpSBOWkSukvUQJBfY7gX,3,328,,https://open.spotify.com/artist/2TKpSBOWkSukvUQJBfY7gX
Nihad Tule,4WW5gN57jfdpuiTenY846O,3,865,"dub techno, techno",https://open.spotify.com/artist/4WW5gN57jfdpuiTenY846O
Paul Boex,2LjaqiIMAQ0LkG18WC1swo,0,120,,https://open.spotify.com/artist/2LjaqiIMAQ0LkG18WC1swo
Vromo,3FarDoYYSwmpATWQkJSrKt,15,849,hard house,https://open.spotify.com/artist/3FarDoYYSwmpATWQkJSrKt
Benny Rodrigues,30Wsrz7KrMvfufNEEwO5AD,18,8094,"acid house, techno",https://open.spotify.com/artist/30Wsrz7KrMvfufNEEwO5AD
De Sluwe Vos,6NOaZCnZyowwJiTHbh5dLS,30,11888,techno,https://open.spotify.com/artist/6NOaZCnZyowwJiTHbh5dLS
Estella Boersma,4UCy3TOuu2eA6zNY50JQSV,28,16718,"acid techno, hard techno, techno, breakbeat",https://open.spotify.com/artist/4UCy3TOuu2eA6zNY50JQSV
Julian Muller,5UWmNXxqHIUcpHEJCxDojK,32,14705,"techno, acid techno, hard techno, hard house",https://open.spotify.com/artist/5UWmNXxqHIUcpHEJCxDojK
Nick Edwards,66CpLcmXc2KqnD2g2TmGLO,23,3904,,https://open.spotify.com/artist/66CpLcmXc2KqnD2g2TmGLO
Acda en de Munnik,040Fqhc0l7a4MPeDx6cneh,56,161620,nederpop,https://open.spotify.com/artist/040Fqhc0l7a4MPeDx6cneh
Stef de Haan,6h4hz3Tbm4jV31NdOMhfpA,38,11504,"hard house, hypertechno",https://open.spotify.com/artist/6h4hz3Tbm4jV31NdOMhfpA
KA,7DpYMZzVNrjqw1geHziUEd,63,125472,,https://open.spotify.com/artist/7DpYMZzVNrjqw1geHziUEd
Cynthia Spiering,79OM7a2ey5mIcYnfGJUGnL,14,5022,"hard techno, techno",https://open.spotify.com/artist/79OM7a2ey5mIcYnfGJUGnL
Percy Sledge,3rRmDmzPcAFwcUDvG5gBqO,55,546812,"motown, soul",https://open.spotify.com/artist/3rRmDmzPcAFwcUDvG5gBqO
Somewhen,0k47nZgznsmnNkSIJvjbVy,43,26840,"hard techno, techno, acid techno",https://open.spotify.com/artist/0k47nZgznsmnNkSIJvjbVy
efdemin,6hjRjVNLWTCPYci9nxhI1G,33,45712,"dub techno, minimal techno",https://open.spotify.com/artist/6hjRjVNLWTCPYci9nxhI1G
Peter Van Hoesen,5DoTIfgEIXcZIluxsnvaVn,18,15741,"dub techno, techno, minimal techno",https://open.spotify.com/artist/5DoTIfgEIXcZIluxsnvaVn
Serti,0IIA4yUOCqm9IYErlnXh7M,1,183,,https://open.spotify.com/artist/0IIA4yUOCqm9IYErlnXh7M
Van Anh,21iZKLzj6EwVt5OGCLekjg,14,438,"vietnamese bolero, chicago house",https://open.spotify.com/artist/21iZKLzj6EwVt5OGCLekjg
Arthur Robert,03fCnnnuTnIahIcmQ8NjM4,26,7874,"techno, dub techno, minimal techno",https://open.spotify.com/artist/03fCnnnuTnIahIcmQ8NjM4
Ben Sims,5wW4dvR027rdRFG0mtvckt,27,47534,"techno, minimal techno",https://open.spotify.com/artist/5wW4dvR027rdRFG0mtvckt
Rosati,5iYxxJXYJuXZwEGoTkpAxd,15,1611,"dub techno, techno",https://open.spotify.com/artist/5iYxxJXYJuXZwEGoTkpAxd
Truncate,1JxLnEvBPdm9baryEFzE50,31,26834,"techno, minimal techno, dub techno, acid techno",https://open.spotify.com/artist/1JxLnEvBPdm9baryEFzE50
Call Super,1FVo44KTXqxo3JxXADWTd9,21,23504,idm,https://open.spotify.com/artist/1FVo44KTXqxo3JxXADWTd9
Kessler,3p0aq3vKGFP6N7rDc0UhJC,22,9533,"breakbeat, uk garage, jungle, idm",https://open.spotify.com/artist/3p0aq3vKGFP6N7rDc0UhJC
Saoirse,7AZxq55YIas0vYM7L82XKX,25,5757,,https://open.spotify.com/artist/7AZxq55YIas0vYM7L82XKX
Vuur & Zijde,3226Ri8nFxe4EecvuJKy4N,9,1957,black metal,https://open.spotify.com/artist/3226Ri8nFxe4EecvuJKy4N
Chris Stussy,3BxjasMelf9pKaE4f7Y0So,59,138900,"house, tech house",https://open.spotify.com/artist/3BxjasMelf9pKaE4f7Y0So
NEDDA SOU,7id11Nqr4nmM18QZCtpAt5,0,92,,https://open.spotify.com/artist/7id11Nqr4nmM18QZCtpAt5
Amor Satyr,3OSzUMBfUgBgJ23gVEqsIX,27,8518,"breakbeat, uk funky, singeli",https://open.spotify.com/artist/3OSzUMBfUgBgJ23gVEqsIX
Corridor,4nn9uUq4K1vStqxe8t1CD4,27,17806,jangle pop,https://open.spotify.com/artist/4nn9uUq4K1vStqxe8t1CD4
Marco Schuitmaker,5kukvi4C18gvtXbDS1eKjQ,59,111081,nederpop,https://open.spotify.com/artist/5kukvi4C18gvtXbDS1eKjQ
NVST,2i6CfgugNAcdvTpowum8sU,8,1159,"breakbeat, chinese indie",https://open.spotify.com/artist/2i6CfgugNAcdvTpowum8sU
Zohar Argov,3RUaBohZGA9vusdMDJBD1V,42,66199,mizrahi,https://open.spotify.com/artist/3RUaBohZGA9vusdMDJBD1V
Cem Adrian,2AWUCT9xtcvkjpFq1ZgpPj,64,3721512,"arabesk, turkish pop",https://open.spotify.com/artist/2AWUCT9xtcvkjpFq1ZgpPj
Carlos Valdés,4kzfbybgrUJKUMjDQb1UwQ,0,35,,https://open.spotify.com/artist/4kzfbybgrUJKUMjDQb1UwQ
Objekt,44z1nVVXZE8d4njcQmQLWc,27,50131,"idm, breakbeat",https://open.spotify.com/artist/44z1nVVXZE8d4njcQmQLWc
Nene H,3i7e7kVkTVFhkjYMfZoFoI,19,9128,"acid techno, techno, hard techno",https://open.spotify.com/artist/3i7e7kVkTVFhkjYMfZoFoI
Antal,0e1whBY5xv3rF7Zj5cxLD9,11,3643,,https://open.spotify.com/artist/0e1whBY5xv3rF7Zj5cxLD9
