Datum,Tmax,Tmin,Neerslag,Max Windstoot,Opmerkingen
11/30/2021,10.7 °C,5.7 °C,"11,2 mm",38.6 km/u,
11/29/2021,7.7 °C,2.7 °C,"4,6 mm",32.2 km/u,
11/28/2021,5.4 °C,1.2 °C,"2,0 mm",30.6 km/u,
11/27/2021,4.3 °C,3.0 °C,"7,6 mm",27.4 km/u,
11/26/2021,6.1 °C,4.0 °C,"13,4 mm",40.2 km/u,
11/25/2021,10.2 °C,5.1 °C,"4,6 mm",32.2 km/u,
11/24/2021,8.8 °C,6.8 °C,"0,0 mm",17.7 km/u,
11/23/2021,11.9 °C,5.8 °C,"0,4 mm",17.7 km/u,
11/22/2021,10.3 °C,2.2 °C,"0,0 mm",16.1 km/u,
11/21/2021,10.9 °C,5.8 °C,"3,0 mm",25.7 km/u,
11/20/2021,11.5 °C,9.5 °C,"0,2 mm",24.1 km/u,
11/19/2021,14.3 °C,10.7 °C,"0,0 mm",25.7 km/u,
11/18/2021,12.9 °C,8.6 °C,"0,0 mm",37.0 km/u,
11/17/2021,12.1 °C,6.6 °C,"1,0 mm",27.4 km/u,
11/16/2021,6.6 °C,4.8 °C,"0,0 mm",16.1 km/u,
11/15/2021,8.9 °C,5.2 °C,"0,0 mm",11.3 km/u,
11/14/2021,10.8 °C,8.9 °C,"1,0 mm",16.1 km/u,
11/13/2021,14.1 °C,9.7 °C,"7,6 mm",29.0 km/u,
11/12/2021,9.7 °C,6.0 °C,"0,6 mm",25.7 km/u,
11/11/2021,12.0 °C,9.4 °C,"0,0 mm",11.3 km/u,
11/10/2021,11.9 °C,9.4 °C,"0,0 mm",16.1 km/u,
11/9/2021,10.7 °C,6.1 °C,"0,2 mm",22.5 km/u,
11/8/2021,12.5 °C,6.1 °C,"0,2 mm",16.1 km/u,
11/7/2021,12.9 °C,8.7 °C,"2,6 mm",37.0 km/u,
11/6/2021,12.9 °C,9.4 °C,"1,6 mm",37.0 km/u,
11/5/2021,12.2 °C,6.1 °C,"1,0 mm",22.5 km/u,
11/4/2021,12.6 °C,2.7 °C,"1,4 mm",14.5 km/u,
11/3/2021,11.7 °C,3.8 °C,"0,2 mm",9.7 km/u,
11/2/2021,9.1 °C,5.8 °C,"5,2 mm",16.1 km/u,
11/1/2021,13.4 °C,7.8 °C,"0,4 mm",41.8 km/u,
12/31/2021,14.2 °C,10.9 °C,"0,4 mm",53.1 km/u,
12/30/2021,13.6 °C,10.4 °C,"0,2 mm",46.7 km/u,
12/29/2021,12.3 °C,8.4 °C,"4,6 mm",30.6 km/u,
12/28/2021,10.2 °C,8.0 °C,"3,2 mm",35.4 km/u,
12/27/2021,8.6 °C,1.2 °C,"0,8 mm",19.3 km/u,
12/26/2021,1.6 °C,-4.2 °C,"0,2 mm",19.3 km/u,
12/25/2021,3.2 °C,-3.5 °C,"0,2 mm",29.0 km/u,
12/24/2021,9.9 °C,3.3 °C,"3,2 mm",30.6 km/u,
12/23/2021,8.9 °C,-0.5 °C,"3,2 mm",27.4 km/u,
12/22/2021,1.5 °C,-3.0 °C,"0,2 mm",11.3 km/u,
12/21/2021,6.1 °C,-1.8 °C,"0,2 mm",6.4 km/u,
12/20/2021,7.0 °C,0.8 °C,"0,0 mm",14.5 km/u,
12/19/2021,7.7 °C,6.3 °C,"0,4 mm",19.3 km/u,
12/18/2021,7.8 °C,4.9 °C,"0,4 mm",6.4 km/u,
12/17/2021,8.5 °C,7.4 °C,"0,8 mm",8.0 km/u,
12/16/2021,11.8 °C,6.4 °C,"0,2 mm",8.0 km/u,
12/15/2021,11.3 °C,8.5 °C,"0,0 mm",25.7 km/u,
12/14/2021,10.5 °C,8.2 °C,"1,4 mm",20.9 km/u,
12/13/2021,10.9 °C,9.2 °C,"0,0 mm",25.7 km/u,
12/12/2021,11.2 °C,5.3 °C,"7,8 mm",25.7 km/u,
12/11/2021,8.3 °C,1.9 °C,"1,8 mm",25.7 km/u,
12/10/2021,4.3 °C,2.1 °C,"0,4 mm",24.1 km/u,
12/9/2021,5.7 °C,2.0 °C,"0,4 mm",25.7 km/u,
12/8/2021,7.0 °C,3.5 °C,"1,4 mm",38.6 km/u,data tot 21:58u
12/7/2021,6.6 °C,1.4 °C,"4,4 mm",35.4 km/u,
12/6/2021,4.2 °C,1.3 °C,"7,0 mm",32.2 km/u,
12/5/2021,5.4 °C,3.6 °C,"2,0 mm",22.5 km/u,
12/4/2021,6.8 °C,4.6 °C,"4,4 mm",19.3 km/u,
12/3/2021,5.2 °C,2.6 °C,"0,2 mm",40.2 km/u,
12/2/2021,5.7 °C,1.6 °C,"6,0 mm",33.8 km/u,
12/1/2021,11.3 °C,5.7 °C,"4,0 mm",53.1 km/u,
1/31/2022,7.4 °C,4.4 °C,"6,6 mm",64.4 km/u,
1/30/2022,8.1 °C,5.1 °C,"0,0 mm",40.2 km/u,
1/29/2022,11.5 °C,7.6 °C,"0,0 mm",53.1 km/u,
1/28/2022,8.9 °C,5.5 °C,"0,0 mm",32.2 km/u,
1/27/2022,9.4 °C,6.2 °C,"2,4 mm",38.6 km/u,
1/26/2022,6.6 °C,2.8 °C,"0,0 mm",29.0 km/u,
1/25/2022,3.8 °C,2.8 °C,"0,0 mm",9.7 km/u,
1/24/2022,6.4 °C,3.7 °C,"0,0 mm",8.0 km/u,
1/23/2022,7.8 °C,5.7 °C,"0,0 mm",9.7 km/u,
1/22/2022,7.9 °C,6.3 °C,"0,0 mm",19.3 km/u,
1/21/2022,7.3 °C,2.6 °C,"0,6 mm",27.4 km/u,
1/20/2022,6.4 °C,2.1 °C,"1,2 mm",40.2 km/u,
1/19/2022,7.5 °C,2.7 °C,"1,0 mm",29.0 km/u,
1/18/2022,5.9 °C,2.9 °C,"0,2 mm",16.1 km/u,
1/17/2022,9.3 °C,5.9 °C,"0,0 mm",30.6 km/u,
1/16/2022,8.3 °C,2.2 °C,"0,2 mm",30.6 km/u,
1/15/2022,6.0 °C,1.1 °C,"0,2 mm",14.5 km/u,
1/14/2022,7.4 °C,4.4 °C,"0,0 mm",14.5 km/u,
1/13/2022,6.9 °C,4.0 °C,"0,0 mm",22.5 km/u,
1/12/2022,6.9 °C,2.3 °C,"0,0 mm",11.3 km/u,
1/11/2022,5.6 °C,0.3 °C,"0,8 mm",25.7 km/u,
1/10/2022,7.9 °C,0.7 °C,"0,0 mm",16.1 km/u,
1/9/2022,7.2 °C,2.8 °C,"4,4 mm",40.2 km/u,
1/8/2022,6.7 °C,2.7 °C,"14,0 mm",43.5 km/u,
1/7/2022,6.6 °C,3.0 °C,"5,6 mm",38.6 km/u,
1/6/2022,6.4 °C,1.4 °C,"0,4 mm",37.0 km/u,
1/5/2022,7.8 °C,4.7 °C,"4,4 mm",48.3 km/u,
1/4/2022,9.2 °C,3.8 °C,"0,0 mm",30.6 km/u,
1/3/2022,11.2 °C,8.9 °C,"0,0 mm",45.1 km/u,
1/2/2022,13.2 °C,9.9 °C,"7,8 mm",48.3 km/u,
1/1/2022,13.2 °C,10.3 °C,"0,0 mm",29.0 km/u,
2/28/2022,10.9 °C,2.1 °C,"0,0 mm",24.1 km/u,
2/27/2022,10.6 °C,1.8 °C,"0,0 mm",32.2 km/u,
2/26/2022,10.1 °C,1.4 °C,"0,0 mm",19.3 km/u,
2/25/2022,8.2 °C,4.6 °C,"0,6 mm",43.5 km/u,
2/24/2022,9.2 °C,2.8 °C,"5,6 mm",45.1 km/u,
2/23/2022,11.1 °C,5.8 °C,"0,0 mm",37.0 km/u,
2/22/2022,10.8 °C,5.5 °C,"1,8 mm",56.3 km/u,
2/21/2022,8.2 °C,4.5 °C,"5,2 mm",56.3 km/u,
2/20/2022,11.6 °C,4.1 °C,"22,6 mm",72.4 km/u,
2/19/2022,7.7 °C,3.5 °C,"18,8 mm",61.2 km/u,
2/18/2022,11.0 °C,6.6 °C,"1,6 mm",80.5 km/u,
2/17/2022,11.2 °C,7.6 °C,"0,8 mm",54.7 km/u,
2/16/2022,12.8 °C,7.9 °C,"5,0 mm",61.2 km/u,
2/15/2022,8.6 °C,6.5 °C,"12,6 mm",43.5 km/u,
2/14/2022,11.5 °C,6.4 °C,"1,4 mm",48.3 km/u,
2/13/2022,9.8 °C,1.3 °C,"0,0 mm",37.0 km/u,
2/12/2022,7.7 °C,0.9 °C,"0,0 mm",32.2 km/u,
2/11/2022,7.9 °C,1.1 °C,"0,8 mm",51.5 km/u,
2/10/2022,8.6 °C,5.6 °C,"5,2 mm",24.1 km/u,
2/9/2022,9.8 °C,8.2 °C,"0,2 mm",35.4 km/u,
2/8/2022,11.3 °C,8.1 °C,"0,2 mm",43.5 km/u,
2/7/2022,8.2 °C,3.7 °C,"0,6 mm",46.7 km/u,
2/6/2022,9.3 °C,4.2 °C,"11,2 mm",56.3 km/u,
2/5/2022,8.4 °C,4.9 °C,"5,2 mm",53.1 km/u,
2/4/2022,9.0 °C,3.6 °C,"6,4 mm",45.1 km/u,
2/3/2022,8.9 °C,6.8 °C,"0,2 mm",30.6 km/u,
2/2/2022,10.6 °C,7.6 °C,"0,8 mm",41.8 km/u,
2/1/2022,9.7 °C,4.5 °C,"2,0 mm",45.1 km/u,
3/31/2022,4.2 °C,0.7 °C,"17,4 mm",53.1 km/u,
3/30/2022,9.8 °C,2.6 °C,"1,6 mm",27.4 km/u,
3/29/2022,13.3 °C,6.4 °C,"0,0 mm",22.5 km/u,
3/28/2022,15.1 °C,5.7 °C,"0,0 mm",14.5 km/u,
3/27/2022,16.6 °C,5.6 °C,"0,0 mm",22.5 km/u,
3/26/2022,18.2 °C,3.9 °C,"0,0 mm",22.5 km/u,
3/25/2022,16.6 °C,3.3 °C,"0,0 mm",17.7 km/u,
3/24/2022,19.2 °C,4.7 °C,"0,0 mm",16.1 km/u,
3/23/2022,20.2 °C,4.8 °C,"0,0 mm",14.5 km/u,
3/22/2022,21.1 °C,4.7 °C,"0,0 mm",9.7 km/u,
3/21/2022,17.1 °C,3.1 °C,"0,0 mm",16.1 km/u,
3/20/2022,9.2 °C,3.6 °C,"0,2 mm",24.1 km/u,
3/19/2022,14.1 °C,4.9 °C,"0,0 mm",29.0 km/u,
3/18/2022,16.0 °C,4.0 °C,"0,0 mm",20.9 km/u,
3/17/2022,11.8 °C,6.6 °C,"1,2 mm",41.8 km/u,
3/16/2022,14.0 °C,5.7 °C,"0,0 mm",27.4 km/u,
3/15/2022,14.6 °C,6.6 °C,"0,0 mm",14.5 km/u,data tot 13:19u
3/14/2022,12.8 °C,7.2 °C,"0,2 mm",27.4 km/u,
3/13/2022,16.7 °C,9.7 °C,"0,0 mm",27.4 km/u,
3/12/2022,14.7 °C,8.8 °C,"0,2 mm",29.0 km/u,
3/11/2022,15.7 °C,5.2 °C,"0,0 mm",32.2 km/u,
3/10/2022,15.8 °C,3.5 °C,"0,0 mm",29.0 km/u,
3/9/2022,14.8 °C,2.2 °C,"0,0 mm",20.9 km/u,
3/8/2022,11.0 °C,1.3 °C,"0,0 mm",32.2 km/u,
3/7/2022,8.5 °C,-0.8 °C,"0,0 mm",22.5 km/u,
3/6/2022,7.4 °C,1.3 °C,"0,0 mm",29.0 km/u,
3/5/2022,7.3 °C,-1.3 °C,"0,0 mm",17.7 km/u,
3/4/2022,12.3 °C,0.6 °C,"0,0 mm",16.1 km/u,
3/3/2022,13.3 °C,1.3 °C,"0,0 mm",16.1 km/u,
3/2/2022,10.9 °C,4.1 °C,"0,2 mm",17.7 km/u,
4/30/2022,11.8 °C,5.9 °C,"0,0 mm",24.1 km/u,
4/29/2022,12.2 °C,6.8 °C,"0,0 mm",27.4 km/u,
4/28/2022,14.9 °C,4.6 °C,"0,0 mm",24.1 km/u,
4/27/2022,12.3 °C,4.9 °C,"0,0 mm",19.3 km/u,
4/26/2022,13.8 °C,6.1 °C,"0,0 mm",29.0 km/u,
4/25/2022,10.9 °C,8.1 °C,"0,4 mm",22.5 km/u,
4/24/2022,16.8 °C,9.3 °C,"0,0 mm",38.6 km/u,
4/23/2022,19.5 °C,10.1 °C,"0,0 mm",30.6 km/u,
4/22/2022,17.9 °C,9.9 °C,"0,0 mm",32.2 km/u,
4/21/2022,18.6 °C,7.7 °C,"0,0 mm",32.2 km/u,
4/20/2022,17.6 °C,7.1 °C,"0,0 mm",29.0 km/u,
4/19/2022,18.6 °C,6.6 °C,"0,0 mm",24.1 km/u,
4/18/2022,21.7 °C,9.2 °C,"0,0 mm",20.9 km/u,
4/17/2022,19.8 °C,6.7 °C,"0,0 mm",22.5 km/u,
4/16/2022,17.6 °C,7.3 °C,"0,0 mm",24.1 km/u,
4/15/2022,12.4 °C,7.8 °C,"0,0 mm",17.7 km/u,
4/14/2022,17.7 °C,9.7 °C,"0,0 mm",24.1 km/u,
4/13/2022,17.1 °C,12.0 °C,"0,0 mm",19.3 km/u,
4/12/2022,21.4 °C,8.4 °C,"0,0 mm",25.7 km/u,
4/11/2022,15.9 °C,3.6 °C,"0,0 mm",25.7 km/u,
4/10/2022,12.2 °C,3.0 °C,"1,2 mm",32.2 km/u,
4/9/2022,8.2 °C,4.8 °C,"1,2 mm",45.1 km/u,
4/8/2022,8.8 °C,5.0 °C,"1,4 mm",40.2 km/u,
4/7/2022,10.9 °C,3.0 °C,"17,6 mm",64.4 km/u,
4/6/2022,11.5 °C,9.0 °C,"1,0 mm",56.3 km/u,
4/5/2022,11.3 °C,7.6 °C,"1,4 mm",35.4 km/u,
4/4/2022,10.2 °C,4.4 °C,"13,4 mm",51.5 km/u,
4/3/2022,8.4 °C,-0.1 °C,"1,2 mm",27.4 km/u,
4/2/2022,7.5 °C,1.1 °C,"0,0 mm",35.4 km/u,
4/1/2022,5.8 °C,0.2 °C,"8,4 mm",45.1 km/u,
5/31/2022,17.1 °C,8.6 °C,"4,4 mm",19.3 km/u,
5/30/2022,16.0 °C,7.0 °C,"0,4 mm",19.3 km/u,
5/29/2022,14.5 °C,8.8 °C,"0,2 mm",30.6 km/u,
5/28/2022,15.4 °C,9.0 °C,"1,6 mm",35.4 km/u,
5/27/2022,15.7 °C,12.1 °C,"1,4 mm",38.6 km/u,
5/26/2022,17.5 °C,13.9 °C,"0,0 mm",38.6 km/u,
5/25/2022,17.1 °C,10.9 °C,"0,0 mm",51.5 km/u,
5/24/2022,16.0 °C,12.4 °C,"2,2 mm",35.4 km/u,
5/23/2022,22.9 °C,12.7 °C,"11,8 mm",30.6 km/u,
5/22/2022,23.1 °C,9.5 °C,"0,0 mm",17.7 km/u,
5/21/2022,16.7 °C,11.5 °C,"0,0 mm",29.0 km/u,
5/20/2022,19.4 °C,11.1 °C,"11,0 mm",29.0 km/u,
5/19/2022,23.3 °C,12.9 °C,"9,6 mm",32.2 km/u,
5/18/2022,24.3 °C,15.3 °C,"0,0 mm",20.9 km/u,
5/17/2022,25.2 °C,14.7 °C,"0,2 mm",17.7 km/u,
5/16/2022,23.1 °C,14.0 °C,"1,0 mm",35.4 km/u,
5/15/2022,25.1 °C,10.9 °C,"0,0 mm",25.7 km/u,
5/14/2022,20.9 °C,11.5 °C,"0,0 mm",20.9 km/u,
5/13/2022,16.7 °C,12.7 °C,"0,0 mm",40.2 km/u,
5/12/2022,17.9 °C,10.7 °C,"0,0 mm",35.4 km/u,
5/11/2022,17.9 °C,12.1 °C,"2,8 mm",48.3 km/u,
5/10/2022,21.9 °C,14.3 °C,"0,0 mm",38.6 km/u,
5/9/2022,22.5 °C,7.3 °C,"0,0 mm",22.5 km/u,
5/8/2022,16.6 °C,8.3 °C,"0,0 mm",25.7 km/u,
5/7/2022,19.4 °C,11.8 °C,"0,0 mm",27.4 km/u,
5/6/2022,20.6 °C,8.3 °C,"0,0 mm",22.5 km/u,
5/5/2022,19.7 °C,7.8 °C,"0,0 mm",24.1 km/u,
5/4/2022,15.7 °C,3.6 °C,"0,0 mm",16.1 km/u,
5/3/2022,12.4 °C,6.3 °C,"0,0 mm",19.3 km/u,
5/2/2022,18.2 °C,4.7 °C,"0,0 mm",22.5 km/u,
5/1/2022,16.9 °C,2.8 °C,"0,0 mm",16.1 km/u,
6/30/2022,22.4 °C,13.7 °C,"9,6 mm",32.2 km/u,
6/29/2022,27.8 °C,17.3 °C,"0,0 mm",25.7 km/u,
6/28/2022,24.4 °C,14.2 °C,"0,0 mm",24.1 km/u,
6/27/2022,20.2 °C,14.7 °C,"2,8 mm",30.6 km/u,
6/26/2022,22.2 °C,15.4 °C,"4,8 mm",22.5 km/u,
6/25/2022,23.3 °C,15.8 °C,"5,2 mm",20.9 km/u,
6/24/2022,23.3 °C,17.6 °C,"23,2 mm",20.9 km/u,
6/23/2022,31.1 °C,14.9 °C,"0,0 mm",20.9 km/u,
6/22/2022,25.3 °C,11.5 °C,"0,0 mm",22.5 km/u,
6/21/2022,23.8 °C,10.2 °C,"0,0 mm",20.9 km/u,
6/20/2022,19.7 °C,11.6 °C,"0,0 mm",29.0 km/u,
6/19/2022,18.9 °C,12.1 °C,"4,0 mm",30.6 km/u,
6/18/2022,25.8 °C,15.7 °C,"0,0 mm",29.0 km/u,
6/17/2022,29.8 °C,15.8 °C,"0,0 mm",27.4 km/u,
6/16/2022,25.9 °C,13.8 °C,"0,0 mm",17.7 km/u,
6/15/2022,23.9 °C,12.4 °C,"0,0 mm",22.5 km/u,
6/14/2022,21.9 °C,9.9 °C,"0,0 mm",16.1 km/u,
6/13/2022,17.7 °C,13.0 °C,"0,0 mm",33.8 km/u,
6/12/2022,19.4 °C,14.2 °C,"0,0 mm",27.4 km/u,
6/11/2022,21.1 °C,14.7 °C,"0,0 mm",27.4 km/u,
6/10/2022,21.7 °C,14.1 °C,"0,0 mm",32.2 km/u,
6/9/2022,20.1 °C,13.7 °C,"0,0 mm",24.1 km/u,
6/8/2022,19.3 °C,13.8 °C,"4,2 mm",25.7 km/u,
6/7/2022,18.1 °C,12.8 °C,"0,2 mm",29.0 km/u,
6/6/2022,16.4 °C,12.1 °C,"8,2 mm",40.2 km/u,
6/5/2022,20.4 °C,13.0 °C,"41,8 mm",25.7 km/u,
6/4/2022,20.5 °C,11.7 °C,"0,0 mm",32.2 km/u,
6/3/2022,23.5 °C,11.4 °C,"0,0 mm",33.8 km/u,
6/2/2022,19.5 °C,7.8 °C,"0,0 mm",19.3 km/u,
6/1/2022,15.2 °C,9.8 °C,"1,4 mm",27.4 km/u,
Datum,Tmax,Tmin,Neerslag,Max Windstoot,Opmerkingen
4/19/2025,14.6 °C,6.3 °C,"0,0 mm",22.5 km/u,data tot 21:03u
4/18/2025,17.1 °C,8.2 °C,"0,0 mm",16.1 km/u,
4/17/2025,13.6 °C,9.2 °C,"0,0 mm",16.1 km/u,
4/16/2025,12.8 °C,9.9 °C,"0,0 mm",22.5 km/u,
4/15/2025,22.1 °C,11.2 °C,"2,8 mm",32.2 km/u,
4/14/2025,18.9 °C,10.1 °C,"0,0 mm",24.1 km/u,
4/13/2025,18.3 °C,11.9 °C,"4,2 mm",30.6 km/u,
4/12/2025,23.4 °C,6.7 °C,"0,0 mm",27.4 km/u,
4/11/2025,16.9 °C,6.4 °C,"0,0 mm",20.9 km/u,
4/10/2025,14.7 °C,6.6 °C,"0,0 mm",24.1 km/u,
4/9/2025,11.8 °C,4.4 °C,"0,0 mm",29.0 km/u,
4/8/2025,15.1 °C,4.7 °C,"0,0 mm",19.3 km/u,
4/7/2025,14.7 °C,2.8 °C,"0,0 mm",22.5 km/u,
4/6/2025,13.2 °C,4.2 °C,"0,0 mm",27.4 km/u,
4/5/2025,15.4 °C,6.8 °C,"0,0 mm",38.6 km/u,
4/4/2025,21.8 °C,6.8 °C,"0,0 mm",27.4 km/u,
4/3/2025,21.3 °C,8.2 °C,"0,0 mm",27.4 km/u,
4/2/2025,18.2 °C,6.6 °C,"0,0 mm",29.0 km/u,
4/1/2025,15.9 °C,3.7 °C,"0,0 mm",24.1 km/u,
3/31/2025,13.8 °C,5.7 °C,"0,0 mm",29.0 km/u,
3/30/2025,12.7 °C,8.1 °C,"0,2 mm",48.3 km/u,
3/29/2025,11.7 °C,5.4 °C,"0,0 mm",30.6 km/u,
3/28/2025,11.2 °C,6.1 °C,"0,0 mm",29.0 km/u,
3/27/2025,16.2 °C,3.2 °C,"0,0 mm",16.1 km/u,
3/26/2025,12.6 °C,4.7 °C,"0,0 mm",22.5 km/u,
3/25/2025,12.1 °C,6.4 °C,"0,0 mm",22.5 km/u,
3/24/2025,14.0 °C,5.9 °C,"0,0 mm",20.9 km/u,
3/23/2025,18.5 °C,10.6 °C,"0,0 mm",17.7 km/u,
3/22/2025,19.7 °C,12.3 °C,"0,0 mm",27.4 km/u,
3/21/2025,21.7 °C,5.8 °C,"0,0 mm",30.6 km/u,
3/20/2025,19.9 °C,5.5 °C,"0,0 mm",17.7 km/u,
3/19/2025,18.1 °C,1.2 °C,"0,0 mm",19.3 km/u,
3/18/2025,12.7 °C,-0.1 °C,"0,0 mm",24.1 km/u,
3/17/2025,11.1 °C,3.5 °C,"0,0 mm",25.7 km/u,
3/16/2025,9.7 °C,-0.7 °C,"0,0 mm",20.9 km/u,
3/15/2025,8.5 °C,1.2 °C,"0,0 mm",27.4 km/u,
3/14/2025,7.8 °C,1.3 °C,"0,0 mm",25.7 km/u,
3/13/2025,8.4 °C,0.2 °C,"1,4 mm",25.7 km/u,
3/12/2025,8.4 °C,1.8 °C,"0,4 mm",25.7 km/u,
3/11/2025,8.6 °C,3.9 °C,"0,0 mm",30.6 km/u,
3/10/2025,15.8 °C,3.1 °C,"0,0 mm",19.3 km/u,
3/9/2025,18.9 °C,3.4 °C,"0,0 mm",11.3 km/u,
3/8/2025,21.4 °C,5.6 °C,"0,0 mm",17.7 km/u,
3/7/2025,19.5 °C,7.9 °C,"0,0 mm",17.7 km/u,
3/6/2025,18.2 °C,3.7 °C,"0,0 mm",16.1 km/u,
3/5/2025,14.3 °C,3.9 °C,"0,0 mm",29.0 km/u,
3/4/2025,13.8 °C,0.4 °C,"0,2 mm",17.7 km/u,
3/3/2025,11.7 °C,-0.6 °C,"0,2 mm",11.3 km/u,
3/2/2025,11.4 °C,-0.3 °C,"0,0 mm",11.3 km/u,
3/1/2025,9.7 °C,1.9 °C,"0,0 mm",19.3 km/u,
2/28/2025,7.7 °C,2.4 °C,"0,2 mm",27.4 km/u,
2/27/2025,7.7 °C,4.8 °C,"4,6 mm",24.1 km/u,
2/26/2025,10.8 °C,5.0 °C,"4,0 mm",35.4 km/u,
2/25/2025,11.2 °C,6.3 °C,"0,0 mm",22.5 km/u,
2/24/2025,12.0 °C,9.4 °C,"6,2 mm",35.4 km/u,
2/23/2025,14.8 °C,6.6 °C,"0,0 mm",30.6 km/u,
2/22/2025,13.8 °C,7.7 °C,"3,2 mm",25.7 km/u,
2/21/2025,17.6 °C,10.2 °C,"0,0 mm",30.6 km/u,
2/20/2025,10.9 °C,2.1 °C,"0,4 mm",24.1 km/u,
2/19/2025,5.2 °C,-1.6 °C,"0,0 mm",30.6 km/u,
2/18/2025,3.8 °C,-3.4 °C,"0,0 mm",24.1 km/u,
2/17/2025,3.2 °C,-3.3 °C,"0,0 mm",16.1 km/u,
2/16/2025,4.0 °C,-1.2 °C,"0,0 mm",22.5 km/u,
2/15/2025,4.2 °C,0.8 °C,"0,0 mm",9.7 km/u,
2/14/2025,4.4 °C,-2.4 °C,"0,0 mm",11.3 km/u,
2/13/2025,3.2 °C,-1.4 °C,"0,0 mm",22.5 km/u,
2/12/2025,4.5 °C,1.7 °C,"6,4 mm",9.7 km/u,
2/11/2025,4.1 °C,0.7 °C,"11,8 mm",27.4 km/u,
2/10/2025,3.1 °C,1.7 °C,"3,8 mm",30.6 km/u,
2/9/2025,5.4 °C,2.8 °C,"0,0 mm",20.9 km/u,
2/8/2025,7.4 °C,1.9 °C,"0,0 mm",22.5 km/u,
2/7/2025,4.5 °C,2.0 °C,"0,0 mm",27.4 km/u,
2/6/2025,8.3 °C,2.4 °C,"0,0 mm",22.5 km/u,
2/5/2025,9.9 °C,2.9 °C,"0,0 mm",24.1 km/u,
