Datum,Tmax,Tmin,Neerslag,Max Windstoot,Opmerkingen
3/20/2024,14.9 °C,9.0 °C,"0,0 mm",11.3 km/u,
3/19/2024,16.1 °C,9.3 °C,"0,0 mm",30.6 km/u,
3/18/2024,14.4 °C,9.1 °C,"0,2 mm",22.5 km/u,
3/17/2024,13.7 °C,5.1 °C,"5,4 mm",24.1 km/u,
3/16/2024,11.5 °C,4.6 °C,"0,8 mm",30.6 km/u,
3/15/2024,14.6 °C,11.2 °C,"0,8 mm",45.1 km/u,
3/14/2024,17.6 °C,8.6 °C,"0,0 mm",29.0 km/u,
3/13/2024,12.6 °C,9.0 °C,"1,4 mm",41.8 km/u,
3/12/2024,10.9 °C,6.7 °C,"1,4 mm",20.9 km/u,
3/11/2024,8.3 °C,6.6 °C,"9,4 mm",14.5 km/u,
3/10/2024,11.6 °C,5.8 °C,"0,0 mm",24.1 km/u,
3/9/2024,13.6 °C,4.1 °C,"0,0 mm",22.5 km/u,
3/8/2024,10.7 °C,2.0 °C,"0,0 mm",29.0 km/u,
3/7/2024,10.3 °C,3.6 °C,"0,0 mm",30.6 km/u,
3/6/2024,11.7 °C,5.8 °C,"0,2 mm",14.5 km/u,
3/5/2024,8.0 °C,3.0 °C,"2,8 mm",6.4 km/u,
3/4/2024,12.8 °C,4.4 °C,"0,0 mm",27.4 km/u,
3/3/2024,16.5 °C,7.9 °C,"0,0 mm",19.3 km/u,
3/2/2024,12.7 °C,5.7 °C,"0,2 mm",33.8 km/u,
3/1/2024,9.4 °C,5.8 °C,"4,2 mm",32.2 km/u,
2/29/2024,8.9 °C,6.8 °C,"7,6 mm",27.4 km/u,
2/28/2024,9.5 °C,4.7 °C,"0,0 mm",25.7 km/u,
2/27/2024,9.5 °C,0.8 °C,"0,0 mm",14.5 km/u,
2/26/2024,6.9 °C,4.1 °C,"0,0 mm",38.6 km/u,
2/25/2024,10.4 °C,4.2 °C,"0,8 mm",19.3 km/u,
2/24/2024,6.5 °C,3.3 °C,"8,6 mm",32.2 km/u,
2/23/2024,8.7 °C,4.2 °C,"3,8 mm",41.8 km/u,
2/22/2024,12.4 °C,4.9 °C,"11,2 mm",48.3 km/u,
2/21/2024,10.1 °C,8.7 °C,"9,8 mm",33.8 km/u,
2/20/2024,11.2 °C,7.2 °C,"0,0 mm",46.7 km/u,
2/19/2024,10.3 °C,7.5 °C,"1,4 mm",35.4 km/u,
2/18/2024,10.8 °C,8.2 °C,"27,8 mm",49.9 km/u,
2/17/2024,11.6 °C,8.9 °C,"0,0 mm",19.3 km/u,
2/16/2024,12.7 °C,9.3 °C,"2,8 mm",25.7 km/u,
2/15/2024,15.4 °C,11.6 °C,"7,0 mm",27.4 km/u,
2/14/2024,11.9 °C,7.9 °C,"13,0 mm",40.2 km/u,
2/13/2024,9.6 °C,5.1 °C,"2,4 mm",33.8 km/u,
2/12/2024,9.3 °C,5.6 °C,"0,0 mm",27.4 km/u,
2/11/2024,10.1 °C,7.9 °C,"4,4 mm",27.4 km/u,
2/10/2024,12.3 °C,9.8 °C,"0,2 mm",19.3 km/u,
2/9/2024,12.6 °C,4.1 °C,"9,2 mm",30.6 km/u,
2/8/2024,4.4 °C,1.2 °C,"15,0 mm",24.1 km/u,
2/7/2024,7.4 °C,1.4 °C,"2,8 mm",16.1 km/u,
2/6/2024,12.6 °C,5.4 °C,"10,4 mm",64.4 km/u,
2/5/2024,10.7 °C,8.7 °C,"0,0 mm",53.1 km/u,
2/4/2024,10.9 °C,8.3 °C,"0,6 mm",46.7 km/u,
2/3/2024,11.6 °C,9.3 °C,"1,2 mm",40.2 km/u,
2/2/2024,9.6 °C,6.1 °C,"0,0 mm",40.2 km/u,
2/1/2024,9.3 °C,5.5 °C,"3,4 mm",38.6 km/u,
1/31/2024,8.6 °C,5.3 °C,"1,2 mm",45.1 km/u,
1/30/2024,10.7 °C,5.4 °C,"0,6 mm",45.1 km/u,
1/29/2024,10.8 °C,4.4 °C,"0,0 mm",20.9 km/u,
1/28/2024,10.6 °C,1.8 °C,"0,0 mm",27.4 km/u,
1/27/2024,8.4 °C,3.8 °C,"0,0 mm",20.9 km/u,
1/26/2024,11.8 °C,5.9 °C,"5,0 mm",56.3 km/u,
1/25/2024,9.8 °C,5.5 °C,"1,8 mm",29.0 km/u,
1/24/2024,12.6 °C,9.0 °C,"0,0 mm",67.6 km/u,
1/23/2024,12.1 °C,6.7 °C,"7,8 mm",64.4 km/u,
1/22/2024,12.3 °C,7.7 °C,"1,8 mm",69.2 km/u,
1/21/2024,7.6 °C,-0.1 °C,"0,2 mm",49.9 km/u,
1/20/2024,2.6 °C,-0.2 °C,"0,0 mm",32.2 km/u,
1/19/2024,5.3 °C,1.1 °C,"0,0 mm",30.6 km/u,
1/18/2024,4.6 °C,-2.3 °C,"0,4 mm",25.7 km/u,
1/17/2024,1.1 °C,-1.7 °C,"0,0 mm",29.0 km/u,
1/16/2024,3.5 °C,0.4 °C,"1,4 mm",32.2 km/u,
1/15/2024,3.9 °C,1.1 °C,"3,4 mm",40.2 km/u,
1/14/2024,6.0 °C,2.7 °C,"4,6 mm",38.6 km/u,
1/13/2024,6.0 °C,3.8 °C,"2,0 mm",27.4 km/u,
1/12/2024,6.0 °C,2.9 °C,"0,2 mm",20.9 km/u,
1/11/2024,4.7 °C,-5.0 °C,"0,0 mm",14.5 km/u,
1/10/2024,0.9 °C,-3.0 °C,"0,0 mm",22.5 km/u,
1/9/2024,0.3 °C,-4.1 °C,"0,0 mm",25.7 km/u,
1/8/2024,0.7 °C,-2.1 °C,"0,0 mm",32.2 km/u,
1/7/2024,1.4 °C,-0.7 °C,"0,0 mm",30.6 km/u,
1/6/2024,4.6 °C,1.2 °C,"0,0 mm",25.7 km/u,
1/5/2024,8.4 °C,4.6 °C,"13,2 mm",24.1 km/u,
1/4/2024,8.3 °C,6.4 °C,"9,8 mm",24.1 km/u,
1/3/2024,10.8 °C,8.0 °C,"7,8 mm",56.3 km/u,
1/2/2024,12.5 °C,6.8 °C,"26,4 mm",72.4 km/u,
1/1/2024,9.5 °C,5.8 °C,"14,8 mm",45.1 km/u,
12/31/2023,10.2 °C,6.7 °C,"15,2 mm",46.7 km/u,
12/30/2023,9.6 °C,7.5 °C,"0,0 mm",35.4 km/u,
12/29/2023,11.3 °C,7.3 °C,"6,6 mm",53.1 km/u,
12/28/2023,11.6 °C,9.7 °C,"0,0 mm",53.1 km/u,
12/27/2023,10.7 °C,3.3 °C,"4,0 mm",41.8 km/u,
12/26/2023,11.1 °C,3.7 °C,"2,8 mm",48.3 km/u,
12/25/2023,12.2 °C,9.5 °C,"17,0 mm",51.5 km/u,
12/24/2023,12.4 °C,9.7 °C,"10,8 mm",57.9 km/u,
12/23/2023,11.0 °C,7.8 °C,"2,8 mm",53.1 km/u,
12/22/2023,10.9 °C,5.9 °C,"7,8 mm",57.9 km/u,
12/21/2023,11.9 °C,5.7 °C,"2,4 mm",67.6 km/u,
12/20/2023,10.5 °C,7.7 °C,"3,0 mm",41.8 km/u,
12/19/2023,10.2 °C,7.4 °C,"25,0 mm",40.2 km/u,
12/18/2023,9.8 °C,7.5 °C,"0,0 mm",32.2 km/u,
12/17/2023,10.6 °C,7.7 °C,"0,0 mm",40.2 km/u,
12/16/2023,10.8 °C,7.4 °C,"0,0 mm",33.8 km/u,
12/15/2023,10.1 °C,7.0 °C,"0,0 mm",19.3 km/u,
12/14/2023,7.1 °C,4.4 °C,"0,0 mm",22.5 km/u,
12/13/2023,9.3 °C,5.2 °C,"0,0 mm",22.5 km/u,
12/12/2023,10.1 °C,6.4 °C,"5,2 mm",20.9 km/u,
12/11/2023,11.3 °C,8.4 °C,"2,2 mm",51.5 km/u,
12/10/2023,11.0 °C,8.1 °C,"12,8 mm",54.7 km/u,
12/9/2023,10.9 °C,6.0 °C,"17,2 mm",41.8 km/u,
12/8/2023,8.9 °C,2.3 °C,"1,2 mm",24.1 km/u,
12/7/2023,2.8 °C,-0.6 °C,"0,2 mm",27.4 km/u,
12/6/2023,7.1 °C,1.2 °C,"0,6 mm",17.7 km/u,
12/5/2023,2.2 °C,1.3 °C,"0,4 mm",20.9 km/u,
12/4/2023,3.3 °C,0.9 °C,"4,6 mm",25.7 km/u,
12/3/2023,2.1 °C,-0.4 °C,"1,4 mm",30.6 km/u,
12/2/2023,3.7 °C,-2.2 °C,"5,2 mm",11.3 km/u,
12/1/2023,2.3 °C,-2.3 °C,"0,0 mm",11.3 km/u,
11/30/2023,5.0 °C,-0.7 °C,"1,2 mm",8.0 km/u,
11/29/2023,5.7 °C,0.8 °C,"6,4 mm",43.5 km/u,
11/28/2023,5.1 °C,0.9 °C,"7,0 mm",32.2 km/u,
11/27/2023,6.2 °C,3.0 °C,"15,4 mm",33.8 km/u,
11/26/2023,8.3 °C,4.7 °C,"1,6 mm",17.7 km/u,
11/25/2023,8.2 °C,5.1 °C,"3,2 mm",40.2 km/u,
11/24/2023,9.5 °C,4.9 °C,"6,8 mm",62.8 km/u,
11/23/2023,13.7 °C,8.7 °C,"0,6 mm",48.3 km/u,
11/22/2023,10.9 °C,3.6 °C,"0,4 mm",29.0 km/u,
11/21/2023,10.2 °C,5.9 °C,"0,2 mm",24.1 km/u,
11/20/2023,12.7 °C,8.0 °C,"3,2 mm",45.1 km/u,
11/19/2023,14.1 °C,12.0 °C,"4,0 mm",45.1 km/u,
11/18/2023,14.1 °C,5.6 °C,"12,2 mm",32.2 km/u,
11/17/2023,10.3 °C,4.8 °C,"0,0 mm",14.5 km/u,
11/16/2023,9.8 °C,4.5 °C,"0,6 mm",20.9 km/u,
11/15/2023,12.6 °C,9.7 °C,"9,4 mm",38.6 km/u,
11/14/2023,13.8 °C,10.3 °C,"15,6 mm",56.3 km/u,
11/13/2023,15.3 °C,5.3 °C,"6,2 mm",53.1 km/u,
11/12/2023,10.1 °C,5.2 °C,"0,2 mm",19.3 km/u,
11/11/2023,11.3 °C,5.9 °C,"6,4 mm",22.5 km/u,
11/10/2023,8.5 °C,6.8 °C,"16,2 mm",29.0 km/u,
11/9/2023,10.9 °C,7.2 °C,"13,8 mm",29.0 km/u,
11/8/2023,10.8 °C,8.7 °C,"16,8 mm",38.6 km/u,
11/7/2023,12.4 °C,8.2 °C,"7,8 mm",32.2 km/u,
11/6/2023,12.1 °C,9.2 °C,"12,6 mm",43.5 km/u,
11/5/2023,12.2 °C,9.2 °C,"7,6 mm",48.3 km/u,
11/4/2023,10.4 °C,8.3 °C,"6,0 mm",35.4 km/u,
11/3/2023,11.8 °C,8.2 °C,"27,2 mm",45.1 km/u,
11/2/2023,12.9 °C,8.2 °C,"13,4 mm",53.1 km/u,
11/1/2023,14.4 °C,9.9 °C,"5,4 mm",30.6 km/u,
10/31/2023,13.7 °C,9.7 °C,"24,2 mm",22.5 km/u,
10/30/2023,13.4 °C,9.6 °C,"11,2 mm",25.7 km/u,
10/29/2023,14.7 °C,10.4 °C,"9,8 mm",41.8 km/u,
10/28/2023,13.6 °C,9.3 °C,"4,0 mm",25.7 km/u,
10/27/2023,11.4 °C,9.7 °C,"10,0 mm",14.5 km/u,
10/26/2023,11.9 °C,8.3 °C,"0,2 mm",16.1 km/u,
10/25/2023,11.1 °C,8.3 °C,"10,4 mm",19.3 km/u,
10/24/2023,12.3 °C,10.7 °C,"9,6 mm",25.7 km/u,
10/23/2023,12.4 °C,6.7 °C,"2,4 mm",20.9 km/u,
10/22/2023,14.9 °C,9.3 °C,"6,6 mm",30.6 km/u,
10/21/2023,15.4 °C,11.9 °C,"12,4 mm",33.8 km/u,
10/20/2023,14.6 °C,8.4 °C,"31,2 mm",33.8 km/u,
10/19/2023,17.7 °C,9.6 °C,"14,6 mm",25.7 km/u,
10/18/2023,13.1 °C,6.2 °C,"4,2 mm",25.7 km/u,
10/17/2023,13.9 °C,7.1 °C,"0,0 mm",25.7 km/u,
10/16/2023,13.7 °C,8.1 °C,"6,2 mm",11.3 km/u,
10/15/2023,11.7 °C,6.3 °C,"10,4 mm",32.2 km/u,
10/14/2023,14.4 °C,8.6 °C,"5,0 mm",40.2 km/u,
10/13/2023,21.2 °C,14.4 °C,"16,2 mm",51.5 km/u,
10/12/2023,17.3 °C,12.3 °C,"18,8 mm",33.8 km/u,
10/11/2023,19.9 °C,17.3 °C,"1,0 mm",35.4 km/u,
10/10/2023,22.1 °C,14.8 °C,"0,0 mm",27.4 km/u,
10/9/2023,19.9 °C,15.2 °C,"0,0 mm",20.9 km/u,
10/8/2023,19.3 °C,13.8 °C,"0,0 mm",19.3 km/u,
10/7/2023,19.5 °C,17.3 °C,"0,0 mm",37.0 km/u,
10/6/2023,20.9 °C,14.6 °C,"0,0 mm",37.0 km/u,
10/5/2023,18.8 °C,15.3 °C,"0,0 mm",25.7 km/u,
10/4/2023,17.7 °C,14.3 °C,"0,0 mm",29.0 km/u,
10/3/2023,20.6 °C,14.1 °C,"3,0 mm",41.8 km/u,
10/2/2023,24.2 °C,16.6 °C,"0,0 mm",16.1 km/u,
10/1/2023,23.5 °C,15.8 °C,"0,0 mm",27.4 km/u,
9/30/2023,19.8 °C,12.6 °C,"0,0 mm",19.3 km/u,
9/29/2023,20.0 °C,14.6 °C,"0,4 mm",32.2 km/u,
9/28/2023,20.8 °C,16.4 °C,"0,0 mm",27.4 km/u,
9/27/2023,23.9 °C,14.8 °C,"0,0 mm",20.9 km/u,
9/26/2023,22.7 °C,13.9 °C,"0,0 mm",19.3 km/u,
9/25/2023,21.2 °C,13.4 °C,"0,0 mm",27.4 km/u,
9/24/2023,20.6 °C,11.8 °C,"0,0 mm",29.0 km/u,
9/23/2023,16.4 °C,11.7 °C,"11,2 mm",22.5 km/u,
9/22/2023,17.1 °C,12.1 °C,"5,4 mm",27.4 km/u,
9/21/2023,19.7 °C,14.7 °C,"14,8 mm",32.2 km/u,
9/20/2023,21.6 °C,17.0 °C,"0,0 mm",41.8 km/u,
9/19/2023,18.9 °C,15.6 °C,"4,0 mm",51.5 km/u,
9/18/2023,22.8 °C,15.6 °C,"18,0 mm",41.8 km/u,
9/17/2023,19.1 °C,15.8 °C,"2,6 mm",19.3 km/u,
9/16/2023,27.1 °C,13.9 °C,"0,0 mm",11.3 km/u,
9/15/2023,23.6 °C,12.9 °C,"0,0 mm",14.5 km/u,
9/14/2023,22.6 °C,11.2 °C,"0,0 mm",11.3 km/u,
9/13/2023,21.3 °C,13.4 °C,"2,6 mm",38.6 km/u,
9/12/2023,23.6 °C,18.1 °C,"2,4 mm",11.3 km/u,
9/11/2023,25.9 °C,19.7 °C,"0,2 mm",19.3 km/u,
9/10/2023,32.6 °C,19.4 °C,"0,0 mm",14.5 km/u,
9/9/2023,31.2 °C,17.2 °C,"0,0 mm",8.0 km/u,
9/8/2023,31.0 °C,17.1 °C,"0,0 mm",14.5 km/u,
9/7/2023,31.9 °C,16.7 °C,"0,0 mm",16.1 km/u,
9/6/2023,32.8 °C,16.4 °C,"0,0 mm",9.7 km/u,
9/5/2023,30.7 °C,15.0 °C,"0,0 mm",16.1 km/u,
9/4/2023,26.6 °C,12.6 °C,"0,0 mm",14.5 km/u,
9/3/2023,24.9 °C,13.1 °C,"0,0 mm",8.0 km/u,
9/2/2023,23.7 °C,15.1 °C,"0,6 mm",17.7 km/u,
9/1/2023,20.1 °C,14.1 °C,"5,6 mm",8.0 km/u,
8/31/2023,19.4 °C,12.5 °C,"10,2 mm",29.0 km/u,
8/30/2023,18.3 °C,13.1 °C,"7,4 mm",32.2 km/u,
8/29/2023,19.8 °C,11.8 °C,"0,0 mm",14.5 km/u,
8/28/2023,21.2 °C,12.7 °C,"0,0 mm",20.9 km/u,
8/27/2023,18.6 °C,12.8 °C,"2,2 mm",27.4 km/u,
8/26/2023,20.2 °C,15.0 °C,"5,0 mm",32.2 km/u,
8/25/2023,23.3 °C,17.2 °C,"0,0 mm",20.9 km/u,
8/24/2023,22.5 °C,16.3 °C,"3,2 mm",17.7 km/u,
8/23/2023,24.9 °C,16.8 °C,"0,0 mm",20.9 km/u,
8/22/2023,23.1 °C,17.1 °C,"0,0 mm",25.7 km/u,
8/21/2023,24.9 °C,14.8 °C,"0,0 mm",24.1 km/u,
8/20/2023,24.7 °C,16.9 °C,"0,0 mm",19.3 km/u,
8/19/2023,24.6 °C,19.7 °C,"0,0 mm",30.6 km/u,
8/18/2023,25.7 °C,16.1 °C,"0,0 mm",16.1 km/u,
8/17/2023,21.8 °C,16.1 °C,"0,0 mm",29.0 km/u,
8/16/2023,24.8 °C,13.1 °C,"0,0 mm",22.5 km/u,
8/15/2023,22.7 °C,15.3 °C,"0,0 mm",22.5 km/u,
8/14/2023,26.9 °C,15.7 °C,"0,0 mm",22.5 km/u,
8/13/2023,22.7 °C,17.4 °C,"0,8 mm",27.4 km/u,
8/12/2023,22.2 °C,15.7 °C,"11,8 mm",33.8 km/u,
8/11/2023,27.0 °C,17.0 °C,"0,0 mm",25.7 km/u,
8/10/2023,25.8 °C,13.0 °C,"0,0 mm",16.1 km/u,
8/9/2023,20.1 °C,12.4 °C,"0,2 mm",30.6 km/u,
8/8/2023,18.4 °C,15.3 °C,"0,8 mm",35.4 km/u,
8/7/2023,18.2 °C,13.4 °C,"1,6 mm",35.4 km/u,
8/6/2023,16.8 °C,13.4 °C,"88,8 mm",40.2 km/u,
8/5/2023,18.7 °C,14.3 °C,"1,6 mm",29.0 km/u,
8/4/2023,20.2 °C,14.6 °C,"2,6 mm",27.4 km/u,
8/3/2023,19.1 °C,16.4 °C,"5,2 mm",37.0 km/u,
8/2/2023,21.4 °C,15.2 °C,"17,6 mm",43.5 km/u,
8/1/2023,19.3 °C,15.7 °C,"6,4 mm",40.2 km/u,
7/31/2023,19.8 °C,15.8 °C,"25,4 mm",33.8 km/u,
7/30/2023,20.4 °C,16.5 °C,"0,2 mm",41.8 km/u,
7/29/2023,21.9 °C,17.2 °C,"0,0 mm",30.6 km/u,
7/28/2023,22.5 °C,18.2 °C,"2,2 mm",22.5 km/u,
7/27/2023,18.8 °C,14.2 °C,"16,8 mm",29.0 km/u,
7/26/2023,20.0 °C,12.7 °C,"2,4 mm",27.4 km/u,
7/25/2023,19.9 °C,13.1 °C,"0,4 mm",29.0 km/u,
7/24/2023,20.8 °C,14.3 °C,"0,2 mm",30.6 km/u,
7/23/2023,22.2 °C,14.8 °C,"3,6 mm",37.0 km/u,
7/22/2023,19.5 °C,15.1 °C,"2,4 mm",30.6 km/u,
7/21/2023,19.6 °C,13.3 °C,"0,0 mm",33.8 km/u,
7/20/2023,22.1 °C,12.4 °C,"0,2 mm",20.9 km/u,
7/19/2023,21.4 °C,15.4 °C,"3,8 mm",22.5 km/u,
7/18/2023,23.3 °C,14.9 °C,"0,0 mm",20.9 km/u,
7/17/2023,20.6 °C,15.6 °C,"1,4 mm",32.2 km/u,
7/16/2023,21.1 °C,17.1 °C,"0,0 mm",48.3 km/u,
7/15/2023,26.8 °C,18.1 °C,"4,0 mm",41.8 km/u,
7/14/2023,22.7 °C,15.3 °C,"0,0 mm",22.5 km/u,
7/13/2023,21.2 °C,16.3 °C,"0,0 mm",30.6 km/u,
7/12/2023,21.5 °C,17.1 °C,"1,2 mm",30.6 km/u,
7/11/2023,25.6 °C,17.2 °C,"2,6 mm",33.8 km/u,
7/10/2023,24.6 °C,17.4 °C,"0,0 mm",25.7 km/u,
7/9/2023,29.0 °C,18.1 °C,"12,0 mm",32.2 km/u,
7/8/2023,34.3 °C,16.9 °C,"0,0 mm",11.3 km/u,
7/7/2023,29.4 °C,12.6 °C,"0,0 mm",22.5 km/u,
7/6/2023,21.0 °C,14.4 °C,"0,0 mm",30.6 km/u,
7/5/2023,17.6 °C,11.3 °C,"25,0 mm",74.0 km/u,
7/4/2023,19.9 °C,15.0 °C,"0,0 mm",30.6 km/u,
7/3/2023,19.1 °C,14.9 °C,"1,6 mm",48.3 km/u,
7/2/2023,19.3 °C,15.6 °C,"0,0 mm",33.8 km/u,
7/1/2023,18.7 °C,15.8 °C,"6,6 mm",35.4 km/u,
6/30/2023,22.3 °C,12.3 °C,"0,0 mm",37.0 km/u,
6/29/2023,22.1 °C,14.7 °C,"0,8 mm",30.6 km/u,
6/28/2023,22.2 °C,14.3 °C,"2,6 mm",20.9 km/u,
6/27/2023,21.0 °C,15.4 °C,"0,8 mm",25.7 km/u,
6/26/2023,27.2 °C,17.3 °C,"0,0 mm",30.6 km/u,
6/25/2023,32.1 °C,19.3 °C,"0,0 mm",22.5 km/u,
6/24/2023,27.1 °C,18.2 °C,"0,0 mm",19.3 km/u,
6/23/2023,24.9 °C,16.4 °C,"0,0 mm",22.5 km/u,
6/22/2023,24.2 °C,16.2 °C,"0,0 mm",24.1 km/u,
6/21/2023,23.7 °C,17.6 °C,"0,0 mm",27.4 km/u,
6/20/2023,30.0 °C,19.6 °C,"10,2 mm",35.4 km/u,
6/19/2023,24.3 °C,17.3 °C,"0,2 mm",33.8 km/u,
6/18/2023,26.7 °C,19.6 °C,"0,0 mm",22.5 km/u,
6/17/2023,28.3 °C,13.6 °C,"0,0 mm",14.5 km/u,
6/16/2023,27.1 °C,14.8 °C,"0,0 mm",25.7 km/u,
6/15/2023,27.8 °C,16.6 °C,"0,0 mm",20.9 km/u,
6/14/2023,26.9 °C,16.2 °C,"0,0 mm",27.4 km/u,
6/13/2023,27.9 °C,17.6 °C,"0,0 mm",29.0 km/u,
6/12/2023,30.7 °C,18.4 °C,"0,0 mm",24.1 km/u,
6/11/2023,32.0 °C,17.1 °C,"0,0 mm",20.9 km/u,
6/10/2023,29.4 °C,17.3 °C,"0,0 mm",27.4 km/u,
6/9/2023,29.8 °C,13.6 °C,"0,0 mm",25.7 km/u,
6/8/2023,23.5 °C,11.5 °C,"0,0 mm",29.0 km/u,
6/7/2023,21.1 °C,11.1 °C,"0,0 mm",24.1 km/u,
6/6/2023,20.4 °C,10.6 °C,"0,0 mm",25.7 km/u,
6/5/2023,19.9 °C,11.2 °C,"0,0 mm",22.5 km/u,
6/4/2023,21.6 °C,11.0 °C,"0,0 mm",25.7 km/u,
6/3/2023,22.3 °C,11.1 °C,"0,0 mm",29.0 km/u,
6/2/2023,19.9 °C,10.2 °C,"0,0 mm",25.7 km/u,
6/1/2023,15.4 °C,10.8 °C,"0,0 mm",25.7 km/u,
5/31/2023,20.8 °C,10.3 °C,"0,0 mm",27.4 km/u,
5/30/2023,14.9 °C,10.3 °C,"0,0 mm",25.7 km/u,
5/29/2023,16.9 °C,9.7 °C,"0,0 mm",35.4 km/u,
5/28/2023,21.6 °C,11.3 °C,"0,0 mm",32.2 km/u,
5/27/2023,20.9 °C,9.0 °C,"0,0 mm",20.9 km/u,
5/26/2023,18.0 °C,9.4 °C,"0,0 mm",30.6 km/u,
5/25/2023,18.0 °C,8.9 °C,"0,0 mm",27.4 km/u,
5/24/2023,16.2 °C,7.8 °C,"0,0 mm",17.7 km/u,
5/23/2023,15.8 °C,9.4 °C,"0,0 mm",33.8 km/u,
5/22/2023,24.2 °C,13.1 °C,"0,0 mm",27.4 km/u,
5/21/2023,21.2 °C,13.3 °C,"0,0 mm",29.0 km/u,
5/20/2023,20.5 °C,10.4 °C,"0,0 mm",30.6 km/u,
5/19/2023,19.7 °C,8.2 °C,"0,0 mm",27.4 km/u,
5/18/2023,16.0 °C,6.1 °C,"0,0 mm",20.9 km/u,
5/17/2023,15.7 °C,7.6 °C,"0,0 mm",25.7 km/u,
5/16/2023,14.6 °C,6.9 °C,"0,0 mm",29.0 km/u,
5/15/2023,14.1 °C,8.7 °C,"0,2 mm",35.4 km/u,
5/14/2023,20.9 °C,10.3 °C,"0,0 mm",22.5 km/u,
5/13/2023,23.1 °C,11.2 °C,"0,0 mm",25.7 km/u,
5/12/2023,22.9 °C,11.3 °C,"4,4 mm",24.1 km/u,
